Age,Salary,Experience,Education_Level,Job_Satisfaction,Department,Work_Life_Balance,Annual_Bonus,Commute_Time,Work_Hours_Per_Week,Promotions_Last_5_Years,Training_Hours_Last_Year,Overtime_Hours_Per_Week,Performance_Score
56,37214.2,41,Associate,5,Finance,1,5750.52,98,44,1,67,7,35.66
69,57130.48,17,High School,5,Operations,3,9054.81,75,39,1,97,5,51.02
46,59486.81,13,Master,1,Sales,2,8162,66,35,1,66,12,18.91
32,42887.33,12,Bachelor,2,Operations,4,3093.72,81,44,0,66,1,38.92
60,38423.42,29,Master,1,Finance,2,6250.81,35,34,2,62,4,52.4
25,74142.81,21,PhD,4,Engineering,5,6142.29,11,56,2,37,8,50.8
38,53412.44,20,PhD,5,Marketing,5,2792.59,33,34,2,64,0,40.19
56,59539.52,20,PhD,4,Sales,1,3900.67,55,34,2,11,11,26.61
36,37668.86,31,Bachelor,1,Sales,1,1746.85,93,37,2,82,15,40.28
40,31710.73,8,Master,2,Finance,2,3897.43,81,56,2,98,17,41.16
28,41458.25,24,PhD,5,Marketing,2,6288.9,116,20,0,68,14,35.23
28,48139.68,11,Master,2,HR,1,7138.48,83,52,4,42,9,41.21
41,34036.7,39,Associate,4,Sales,4,9429.89,55,22,1,50,8,37.33
53,49852.33,33,PhD,3,Marketing,4,6582.62,98,41,1,38,4,48.82
57,24672.42,42,PhD,2,Marketing,5,5815.65,75,40,1,73,9,54.01
41,33199.29,15,Bachelor,2,Sales,4,8668.31,73,46,2,9,15,26.24
20,60063.67,4,Master,2,Engineering,3,8106.12,18,23,1,35,19,8.33
39,59056.86,1,Bachelor,5,Operations,1,3884.08,98,54,0,98,5,34.38
19,44121.85,32,Bachelor,4,Engineering,2,4753.72,27,20,2,88,9,22.42
41,34733.54,11,Master,4,Finance,1,6388.89,84,23,2,48,13,13.57
61,34588.95,30,Associate,5,Operations,3,2297.74,92,43,0,50,16,36.51
47,44400.98,37,Master,2,Operations,4,5780.64,47,48,4,57,10,59.55
55,59667.78,19,Associate,2,Finance,1,5877.49,60,41,0,94,5,46.55
19,63923.69,36,Bachelor,3,Marketing,3,6469.01,25,42,0,99,13,42.88
38,42552.02,34,Associate,2,Sales,4,6748.71,111,40,0,82,18,41.73
50,32697.61,7,Associate,1,Engineering,5,4320.74,34,33,4,6,9,26.28
29,54017.65,45,Associate,2,Marketing,5,5877.9,80,27,1,8,12,22.44
39,37646.98,20,PhD,3,Engineering,5,4171.09,113,35,0,88,6,42.74
61,42226.21,12,PhD,1,Sales,3,6918.12,44,54,2,22,7,42.53
42,69879.14,32,Bachelor,3,Engineering,3,5411.35,98,43,1,76,2,52.92
66,62406.73,2,Master,3,HR,2,6939.07,106,45,1,62,14,30.42
44,52369.61,22,Associate,4,Finance,2,1361.13,26,26,3,41,16,52.08
59,30921.21,41,PhD,5,Operations,5,2416.95,6,44,0,10,15,59.17
45,53170.95,48,Master,3,Engineering,1,5639.71,27,57,1,98,4,60.09
33,65939.86,40,Associate,2,Sales,4,2492.72,110,45,2,87,10,38.31
32,44365.5,24,Master,4,Sales,2,7026.08,91,45,4,33,10,42.45
64,70266.71,31,High School,1,HR,4,7041.86,90,49,4,44,18,60.77
68,69391.18,4,Associate,5,Sales,1,5922.17,66,21,1,78,14,9.59
61,74955.99,24,Master,4,HR,5,4372.23,34,28,4,10,13,41.35
69,54578.65,43,Associate,3,Marketing,4,4304.64,31,58,3,51,10,65.01
20,58810.88,17,Associate,4,Engineering,5,6790.88,102,30,4,82,10,32.01
54,71212.81,40,High School,2,Sales,4,6223.07,79,34,4,59,11,33.53
68,56710.91,19,Master,2,Finance,1,3277.39,97,31,4,47,5,51.1
24,42481.49,40,Bachelor,2,Engineering,2,5840.75,41,54,2,27,0,56.87
38,43271.86,38,PhD,5,HR,3,7969.01,74,59,3,56,11,63.25
26,53578.32,34,Associate,4,Engineering,5,6134.96,20,35,3,37,1,33.18
56,30641.58,47,Associate,4,Engineering,2,4256.77,24,51,4,13,3,72.92
35,47851.12,33,Associate,3,Sales,4,4554.69,78,37,1,70,8,34.47
21,66448.21,6,Associate,1,Finance,2,4254.1,50,40,2,31,15,4.57
42,17131.19,36,PhD,2,Marketing,3,4116.21,106,35,1,55,8,48.61
31,73017.23,13,Bachelor,1,Finance,5,2577.84,105,26,0,0,9,26.09
67,66835.61,47,High School,1,Operations,5,5216.02,78,24,2,60,1,65.7
